City,Fuel Type Code,State,EV Total Port Count (Beta)
bird in hand,ELEC,PA,8.0
birmingham,ELEC,AL,148.0
bisbee,ELEC,AZ,9.0
biscoe,ELEC,NC,2.0
bishop,ELEC,CA,51.0
bismarck,ELEC,ND,21.0
bixby,ELEC,OK,1.0
black hawk,ELEC,CO,15.0
black mountain,ELEC,NC,5.0
black river falls,ELEC,WI,16.0
blackfoot,ELEC,ID,8.0
blacklick,ELEC,OH,1.0
blacksburg,ELEC,VA,44.0
blackshear,ELEC,GA,2.0
blackstone,ELEC,VA,6.0
blackville,ELEC,SC,2.0
blackwell,ELEC,OK,12.0
bladensburg,ELEC,MD,7.0
blaine,ELEC,MN,33.0
blair,ELEC,NE,6.0
blairsville,ELEC,GA,5.0
blakely,ELEC,PA,1.0
blakeslee,ELEC,PA,12.0
blanch,ELEC,NC,2.0
blanchard,ELEC,MI,2.0
blanchester,ELEC,OH,2.0
blanco,ELEC,TX,3.0
blanding,ELEC,UT,4.0
blasdell,ELEC,NY,4.0
blauvelt,ELEC,NY,2.0
bloomer,ELEC,WI,1.0
bloomfield,ELEC,NJ,45.0
bloomfield hills,ELEC,MI,8.0
bloomfield township,ELEC,MI,2.0
blooming prairie,ELEC,MN,3.0
bloomingdale,ELEC,IL,18.0
bloomington,ELEC,IL,219.0
bloomsburg,ELEC,PA,24.0
blossburg,ELEC,PA,4.0
blossvale,ELEC,NY,4.0
blountville,ELEC,TN,2.0
blowing rock,ELEC,NC,20.0
blue ash,ELEC,OH,36.0
blue bell,ELEC,PA,12.0
blue earth,ELEC,MN,7.0
blue eye,ELEC,MO,10.0
blue hill,ELEC,ME,13.0
blue jay,ELEC,CA,1.0
blue lake,ELEC,CA,15.0
blue point,ELEC,NY,2.0
blue ridge,ELEC,GA,5.0
blue springs,ELEC,MO,36.0
bluefield,ELEC,WV,4.0
bluemont,ELEC,VA,2.0
bluff,ELEC,UT,6.0
bluffdale,ELEC,UT,2.0
bluffton,ELEC,SC,14.0
blythe,ELEC,CA,18.0
blytheville,ELEC,AR,2.0
blythewood,ELEC,SC,6.0
boardman,ELEC,OH,16.0
boaz,ELEC,AL,5.0
boca raton,ELEC,FL,247.0
bock,ELEC,MN,1.0
bodega bay,ELEC,CA,5.0
boerne,ELEC,TX,8.0
bohemia,ELEC,NY,2.0
boiling spring,ELEC,PA,2.0
boiling springs,ELEC,SC,1.0
boise,ELEC,ID,165.0
boligee,ELEC,AL,2.0
bolingbrook,ELEC,IL,55.0
bolivar,ELEC,MO,8.0
bolton,ELEC,NY,14.0
bolton landing,ELEC,NY,4.0
bondurant,ELEC,IA,1.0
bonita springs,ELEC,FL,10.0
bonners ferry,ELEC,ID,5.0
bonney lake,ELEC,WA,2.0
boone,ELEC,NC,61.0
boonsboro,ELEC,MD,2.0
boonton,ELEC,NJ,11.0
boonville,ELEC,MO,5.0
boothbay,ELEC,ME,4.0
boothbay harbor,ELEC,ME,3.0
boothwyn,ELEC,PA,8.0
borden,ELEC,IN,2.0
bordentown,ELEC,NJ,2.0
boron,ELEC,CA,4.0
borough park,ELEC,NY,20.0
borrego springs,ELEC,CA,4.0
bossier city,ELEC,LA,7.0
boston,ELEC,MA,1114.0
boswell,ELEC,PA,1.0
bothell,ELEC,WA,68.0
bottineau,ELEC,ND,2.0
boulder,ELEC,CO,442.0
boulder city,ELEC,NV,6.0
bound brook,ELEC,NJ,5.0
bourbonnais,ELEC,IL,6.0
bourne,ELEC,MA,13.0
bow,ELEC,NH,11.0
bowie,ELEC,MD,139.0
bowling green,ELEC,OH,60.0
bowman,ELEC,ND,1.0
bowmansville,ELEC,PA,8.0
box elder,ELEC,SD,4.0
boxborough,ELEC,MA,10.0
boxford,ELEC,MA,6.0
boyce,ELEC,VA,2.0
boyertown,ELEC,PA,6.0
boyne city,ELEC,MI,6.0
boyne falls,ELEC,MI,2.0
boynton beach,ELEC,FL,55.0
bozeman,ELEC,MT,23.0
braddock,ELEC,PA,13.0
bradenton,ELEC,FL,60.0
