City,State,Total EV Chargers,Median Income (16 and over),Total Population
Union,New Jersey,52,35231,65365
Upland,California,11,49599,78851
Vacaville,California,173,51676,101898
Vallejo,California,153,49159,123583
Vancouver,Washington,155,46104,194509
Victoria,Texas,25,35639,65372
Victorville,California,97,40004,137224
Virginia beach,Virginia,144,48448,455618
Visalia,California,78,42833,143965
Vista,California,75,43536,97766
Waco,Texas,29,33602,143987
Walnut creek,California,249,81222,68969
Warner robins,Georgia,33,39309,81833
Warren,Michigan,103,40793,137111
Warwick,Rhode Island,133,53556,83024
Washington,District of Columbia,1323,79872,671803
Waterbury,Connecticut,52,34911,115009
Waterloo,Iowa,38,39419,66555
Waukegan,Illinois,38,38876,86472
Waukesha,Wisconsin,20,49431,70465
West covina,California,58,46204,105032
West des moines,Iowa,21,51904,73965
West jordan,Utah,29,43815,116662
West palm beach,Florida,247,41737,120922
West valley,Utah,2,39302,136639
Westland,Michigan,2,41650,84023
Westminster,California,226,40076,89399
Westminster,Colorado,226,40076,114539
Westminster,California,226,60354,89399
Westminster,Colorado,226,60354,114539
Weston,Florida,50,52495,67676
Whittier,California,83,51495,84503
Wichita,Kansas,74,39708,396205
Wichita falls,Texas,8,36214,102659
Wilmington,Delaware,275,43133,71568
Wilmington,North Carolina,275,43133,120320
Wilmington,Delaware,275,41353,71568
Wilmington,North Carolina,275,41353,120320
Winston-salem,North Carolina,65,37722,251343
Woodbury,Minnesota,19,63790,78560
Worcester,Massachusetts,257,41219,205317
Wyoming,Michigan,18,41335,76730
Yakima,Washington,49,39635,97017
Yonkers,New York,83,49165,208112
Yorba linda,California,51,73631,67077
Yuma,Arizona,45,38626,98517
