City,Fuel Type Code,State_evchargers,EV Total Port Count (Beta),State_file1,Median Income (16 and over),State,Total Population
Jacksonville,ELEC,FL,447.0,North Carolina,29725.0,North Carolina,70433.0
Janesville,ELEC,WI,19.0,Wisconsin,42935.0,Wisconsin,65901.0
Johns creek,ELEC,GA,11.0,Georgia,84219.0,Georgia,82458.0
Johnson,ELEC,VT,10.0,Tennessee,31633.0,Tennessee,71444.0
Joliet,ELEC,IL,19.0,Illinois,45311.0,Illinois,147696.0
Jonesboro,ELEC,AR,32.0,Arkansas,37429.0,Arkansas,79884.0
Jurupa valley,ELEC,CA,4.0,California,37284.0,California,107603.0
Kalamazoo,ELEC,MI,72.0,Michigan,29555.0,Michigan,72883.0
Kansas,ELEC,MO,4.0,Kansas,40106.0,Kansas,152561.0
Kansas,ELEC,MO,4.0,Kansas,40106.0,Missouri,509247.0
Kansas,ELEC,MO,4.0,Missouri,45540.0,Kansas,152561.0
Kansas,ELEC,MO,4.0,Missouri,45540.0,Missouri,509247.0
Kenner,ELEC,LA,44.0,Louisiana,42769.0,Louisiana,63991.0
Kennewick,ELEC,WA,28.0,Washington,42234.0,Washington,84757.0
Kenosha,ELEC,WI,22.0,Wisconsin,42039.0,Wisconsin,98490.0
Kent,ELEC,WA,63.0,Washington,50474.0,Washington,134400.0
Killeen,ELEC,TX,19.0,Texas,31396.0,Texas,159170.0
Kirkland,ELEC,WA,99.0,Washington,86148.0,Washington,92155.0
Kissimmee,ELEC,FL,156.0,Florida,31305.0,Florida,80009.0
Knoxville,ELEC,TN,162.0,Tennessee,34146.0,Tennessee,195871.0
Lafayette,ELEC,LA,179.0,Indiana,38585.0,Indiana,72326.0
Lafayette,ELEC,LA,179.0,Indiana,38585.0,Louisiana,121367.0
Lafayette,ELEC,LA,179.0,Louisiana,40960.0,Indiana,72326.0
Lafayette,ELEC,LA,179.0,Louisiana,40960.0,Louisiana,121367.0
Lake charles,ELEC,LA,15.0,Louisiana,41140.0,Louisiana,79106.0
Lake elsinore,ELEC,CA,62.0,California,44753.0,California,71905.0
Lake forest,ELEC,IL,89.0,California,60423.0,California,85635.0
Lakeland,ELEC,FL,40.0,Florida,39129.0,Florida,120044.0
Lakeville,ELEC,MN,33.0,Minnesota,67526.0,Minnesota,74551.0
Lakewood,ELEC,CA,209.0,California,52250.0,California,79042.0
Lakewood,ELEC,CA,209.0,California,52250.0,Colorado,156114.0
Lakewood,ELEC,CA,209.0,Colorado,52382.0,California,79042.0
Lakewood,ELEC,CA,209.0,Colorado,52382.0,Colorado,156114.0
Lancaster,ELEC,MA,225.0,California,45923.0,California,169192.0
Lansing,ELEC,MI,134.0,Michigan,36601.0,Michigan,112963.0
Laredo,ELEC,TX,14.0,Texas,32312.0,Texas,254041.0
Largo,ELEC,FL,45.0,Florida,42019.0,Florida,82474.0
Las cruces,ELEC,NM,48.0,New Mexico,32030.0,New Mexico,113881.0
Las vegas,ELEC,NV,997.0,Nevada,40316.0,Nevada,656302.0
Lauderhill,ELEC,FL,4.0,Florida,35606.0,Florida,73637.0
Lawrence,ELEC,KS,77.0,Kansas,31934.0,Kansas,95784.0
Lawrence,ELEC,KS,77.0,Kansas,31934.0,Massachusetts,87952.0
Lawrence,ELEC,KS,77.0,Massachusetts,32208.0,Kansas,95784.0
Lawrence,ELEC,KS,77.0,Massachusetts,32208.0,Massachusetts,87952.0
Lawton,ELEC,OK,17.0,Oklahoma,31914.0,Oklahoma,91553.0
Layton,ELEC,UT,22.0,Utah,49782.0,Utah,82600.0
Leander,ELEC,TX,11.0,Texas,70123.0,Texas,73808.0
Lee's summit,ELEC,MO,4.0,Missouri,54388.0,Missouri,104336.0
Lehi,ELEC,UT,158.0,Utah,50105.0,Utah,84368.0
Lewisville,ELEC,TX,42.0,Texas,47755.0,Texas,130933.0
Lincoln,ELEC,RI,185.0,Nebraska,41163.0,Nebraska,292623.0
Little rock,ELEC,AR,160.0,Arkansas,41222.0,Arkansas,202851.0
Livermore,ELEC,CA,203.0,California,74427.0,California,84722.0
Livonia,ELEC,NY,52.0,Michigan,56440.0,Michigan,93786.0
Lodi,ELEC,CA,75.0,California,42155.0,California,67273.0
Long beach,ELEC,CA,538.0,California,47825.0,California,451319.0
Longmont,ELEC,CO,136.0,Colorado,48819.0,Colorado,100656.0
Longview,ELEC,TX,30.0,Texas,41781.0,Texas,83119.0
Los angeles,ELEC,CA,5240.0,California,42342.0,California,3822224.0
Loveland,ELEC,CO,89.0,Colorado,44293.0,Colorado,77890.0
Lowell,ELEC,NC,139.0,Massachusetts,44533.0,Massachusetts,113594.0
Lubbock,ELEC,TX,28.0,Texas,38118.0,Texas,263937.0
Lynchburg,ELEC,VA,25.0,Virginia,31308.0,Virginia,79287.0
Lynn,ELEC,MA,12.0,Massachusetts,37180.0,Massachusetts,100892.0
Lynwood,ELEC,CA,24.0,California,32374.0,California,64081.0
Madera,ELEC,CA,88.0,California,30333.0,California,68042.0
Madison,ELEC,WI,313.0,Wisconsin,48647.0,Wisconsin,272907.0
Malden,ELEC,MA,60.0,Massachusetts,55653.0,Massachusetts,64718.0
Manchester,ELEC,NH,128.0,New Hampshire,44836.0,New Hampshire,115141.0
Mansfield,ELEC,OH,43.0,Texas,52592.0,Texas,76586.0
Manteca,ELEC,CA,81.0,California,43937.0,California,86940.0
Maple grove,ELEC,MN,49.0,Minnesota,69620.0,Minnesota,70588.0
Maricopa,ELEC,AZ,25.0,Arizona,51913.0,Arizona,66287.0
Marysville,ELEC,CA,71.0,Washington,55436.0,Washington,72280.0
Mcallen,ELEC,TX,24.0,Texas,32793.0,Texas,144585.0
Mckinney,ELEC,TX,54.0,Texas,61493.0,Texas,207506.0
Medford,ELEC,OR,129.0,Massachusetts,67396.0,Massachusetts,65412.0
Medford,ELEC,OR,129.0,Massachusetts,67396.0,Oregon,85556.0
Medford,ELEC,OR,129.0,Oregon,38250.0,Massachusetts,65412.0
Medford,ELEC,OR,129.0,Oregon,38250.0,Oregon,85556.0
Melbourne,ELEC,FL,101.0,Florida,42444.0,Florida,86439.0
Memphis,ELEC,TN,129.0,Tennessee,38566.0,Tennessee,621050.0
Menifee,ELEC,CA,31.0,California,50565.0,California,109399.0
Merced,ELEC,CA,47.0,California,40376.0,California,91572.0
Meridian,ELEC,ID,54.0,Idaho,49587.0,Idaho,129730.0
Mesa,ELEC,AZ,149.0,Arizona,45077.0,Arizona,512523.0
Mesquite,ELEC,TX,59.0,Texas,40404.0,Texas,147723.0
Miami,ELEC,FL,1017.0,Florida,40453.0,Florida,449484.0
Miami beach,ELEC,FL,212.0,Florida,50637.0,Florida,80027.0
Miami gardens,ELEC,FL,16.0,Florida,35354.0,Florida,110491.0
Midland,ELEC,TX,30.0,Texas,51893.0,Texas,134398.0
Milpitas,ELEC,CA,200.0,California,86549.0,California,77744.0
Milwaukee,ELEC,WI,117.0,Wisconsin,39835.0,Wisconsin,563306.0
Minneapolis,ELEC,MN,262.0,Minnesota,51498.0,Minnesota,425104.0
Miramar,ELEC,FL,46.0,Florida,44401.0,Florida,137208.0
Mission,ELEC,KS,39.0,Texas,35991.0,Texas,86634.0
Mission viejo,ELEC,CA,53.0,California,63872.0,California,91775.0
Missoula,ELEC,MT,36.0,Montana,35985.0,Montana,76960.0
Missouri,ELEC,TX,8.0,Texas,52855.0,Texas,74815.0
Mobile,ELEC,AL,72.0,Alabama,36795.0,Alabama,183282.0
Modesto,ELEC,CA,95.0,California,42971.0,California,218071.0
Montgomery,ELEC,AL,146.0,Alabama,35022.0,Alabama,196986.0
Moreno valley,ELEC,CA,86.0,California,40348.0,California,211915.0
Mount vernon,ELEC,WA,37.0,New York,46210.0,New York,71717.0
Mountain view,ELEC,CA,361.0,California,123256.0,California,81058.0
Muncie,ELEC,IN,2.0,Indiana,28204.0,Indiana,65160.0
Murfreesboro,ELEC,TN,82.0,Tennessee,38834.0,Tennessee,162402.0
Murrieta,ELEC,CA,63.0,California,52808.0,California,113774.0
Nampa,ELEC,ID,22.0,Idaho,38106.0,Idaho,110932.0
Napa,ELEC,CA,259.0,California,58418.0,California,78308.0
Naperville,ELEC,IL,61.0,Illinois,74615.0,Illinois,148508.0
Nashua,ELEC,NH,31.0,New Hampshire,56234.0,New Hampshire,91162.0
New bedford,ELEC,MA,42.0,Massachusetts,40150.0,Massachusetts,100676.0
New braunfels,ELEC,TX,46.0,Texas,50331.0,Texas,98643.0
New britain,ELEC,CT,43.0,Connecticut,34383.0,Connecticut,74408.0
New haven,ELEC,CT,173.0,Connecticut,40611.0,Connecticut,138909.0
New orleans,ELEC,LA,140.0,Louisiana,41857.0,Louisiana,369749.0
New rochelle,ELEC,NY,64.0,New York,63677.0,New York,82292.0
New york,ELEC,NY,1153.0,New York,51600.0,New York,8335897.0
