City,Fuel Type Code,State_evchargers,EV Total Port Count (Beta),State_file1,Median Income (16 and over),State,Total Population
Bellville,ELEC,OH,2.0,,,,
Bellvue,ELEC,CO,4.0,,,,
Belmont,ELEC,NC,77.0,,,,
Beloit,ELEC,WI,3.0,,,,
Belpre,ELEC,OH,2.0,,,,
Belton,ELEC,MO,36.0,,,,
Beltsville,ELEC,MD,25.0,,,,
Belvedere,ELEC,CA,5.0,,,,
Belvedere tiburon,ELEC,CA,14.0,,,,
Belvidere,ELEC,IL,5.0,,,,
Bemidji,ELEC,MN,23.0,,,,
Benbrook,ELEC,TX,4.0,,,,
Bend,ELEC,OR,113.0,Oregon,50197.0,Oregon,103263.0
Benicia,ELEC,CA,8.0,,,,
Bennett,ELEC,CO,6.0,,,,
Bennettsville,ELEC,SC,2.0,,,,
Bennington,ELEC,VT,26.0,,,,
Bensalem,ELEC,PA,55.0,,,,
Bensenville,ELEC,IL,2.0,,,,
Benson,ELEC,NC,14.0,,,,
Bentleyville,ELEC,PA,1.0,,,,
Benton,ELEC,AR,10.0,,,,
Benton city,ELEC,WA,3.0,,,,
Benton harbor,ELEC,MI,34.0,,,,
Bentonville,ELEC,AR,93.0,,,,
Berea,ELEC,KY,23.0,,,,
Bergen,ELEC,NY,4.0,,,,
Bergenfield,ELEC,NJ,1.0,,,,
Berkeley,ELEC,CA,183.0,California,60077.0,California,118942.0
Berkeley heights,ELEC,NJ,9.0,,,,
Berkeley springs,ELEC,WV,11.0,,,,
Berkley,ELEC,MI,6.0,,,,
Berlin,ELEC,CT,39.0,,,,
Bernalillo,ELEC,NM,4.0,,,,
Bernard,ELEC,ME,1.0,,,,
Bernards,ELEC,NJ,7.0,,,,
Bernardsville,ELEC,NJ,2.0,,,,
Berne,ELEC,IN,1.0,,,,
Berryville,ELEC,VA,5.0,,,,
Berthoud,ELEC,CO,12.0,,,,
Berwick,ELEC,PA,2.0,,,,
Berwyn,ELEC,PA,16.0,,,,
Berwyn heights,ELEC,MD,4.0,,,,
Bessemer,ELEC,AL,8.0,,,,
Bessemer city,ELEC,NC,4.0,,,,
Bethany,ELEC,MO,12.0,,,,
Bethany beach,ELEC,DE,12.0,,,,
Bethel,ELEC,VT,24.0,,,,
Bethel park,ELEC,PA,8.0,,,,
Bethesda,ELEC,MD,198.0,,,,
Bethlehem,ELEC,PA,71.0,Pennsylvania,44730.0,Pennsylvania,78854.0
Bettendorf,ELEC,IA,16.0,,,,
Betterton,ELEC,MD,2.0,,,,
Beulah,ELEC,ND,2.0,,,,
Beverly,ELEC,MA,78.0,,,,
Beverly hills,ELEC,CA,126.0,,,,
Bevington,ELEC,IA,2.0,,,,
Bexley,ELEC,OH,5.0,,,,
Biddeford,ELEC,ME,17.0,,,,
Big bear lake,ELEC,CA,15.0,,,,
Big flats,ELEC,NY,2.0,,,,
Big pine key,ELEC,FL,8.0,,,,
Big pool,ELEC,MD,4.0,,,,
Big rapids,ELEC,MI,14.0,,,,
Big sky,ELEC,MT,16.0,,,,
Big spring,ELEC,TX,19.0,,,,
Big stone gap,ELEC,VA,4.0,,,,
Big sur,ELEC,CA,17.0,,,,
Big timber,ELEC,MT,4.0,,,,
Bigfork,ELEC,MT,1.0,,,,
Biglake,ELEC,TX,2.0,,,,
Biglerville,ELEC,PA,1.0,,,,
Billerica,ELEC,MA,14.0,,,,
Billings,ELEC,MT,39.0,Montana,44831.0,Montana,119969.0
Biloxi,ELEC,MS,36.0,,,,
Bingen,ELEC,WA,3.0,,,,
Binger,ELEC,OK,4.0,,,,
Bingham farms,ELEC,MI,4.0,,,,
Binghamton,ELEC,NY,43.0,,,,
Birch run,ELEC,MI,7.0,,,,
Birchwood,ELEC,WI,1.0,,,,
Bird in hand,ELEC,PA,8.0,,,,
Birmingham,ELEC,AL,148.0,Alabama,34547.0,Alabama,196353.0
Bisbee,ELEC,AZ,9.0,,,,
Biscoe,ELEC,NC,2.0,,,,
Bishop,ELEC,CA,51.0,,,,
Bismarck,ELEC,ND,21.0,North Dakota,48620.0,North Dakota,74444.0
Bixby,ELEC,OK,1.0,,,,
Black hawk,ELEC,CO,15.0,,,,
Black mountain,ELEC,NC,5.0,,,,
Black river falls,ELEC,WI,16.0,,,,
Blackfoot,ELEC,ID,8.0,,,,
Blacklick,ELEC,OH,1.0,,,,
Blacksburg,ELEC,VA,44.0,,,,
Blackshear,ELEC,GA,2.0,,,,
Blackstone,ELEC,VA,6.0,,,,
Blackville,ELEC,SC,2.0,,,,
Blackwell,ELEC,OK,12.0,,,,
Bladensburg,ELEC,MD,7.0,,,,
Blaine,ELEC,MN,33.0,Minnesota,55594.0,Minnesota,71738.0
Blair,ELEC,NE,6.0,,,,
Blairsville,ELEC,GA,5.0,,,,
Blakely,ELEC,PA,1.0,,,,
Blakeslee,ELEC,PA,12.0,,,,
Blanch,ELEC,NC,2.0,,,,
Blanchard,ELEC,MI,2.0,,,,
Blanchester,ELEC,OH,2.0,,,,
Blanco,ELEC,TX,3.0,,,,
Blanding,ELEC,UT,4.0,,,,
Blasdell,ELEC,NY,4.0,,,,
Blauvelt,ELEC,NY,2.0,,,,
Bloomer,ELEC,WI,1.0,,,,
Bloomfield,ELEC,NJ,45.0,,,,
Bloomfield hills,ELEC,MI,8.0,,,,
Bloomfield township,ELEC,MI,2.0,,,,
Blooming prairie,ELEC,MN,3.0,,,,
Bloomingdale,ELEC,IL,18.0,,,,
Bloomington,ELEC,IL,219.0,Illinois,49912.0,Illinois,78874.0
Bloomington,ELEC,IL,219.0,Illinois,49912.0,Indiana,77358.0
Bloomington,ELEC,IL,219.0,Illinois,49912.0,Minnesota,87799.0
Bloomington,ELEC,IL,219.0,Indiana,30234.0,Illinois,78874.0
Bloomington,ELEC,IL,219.0,Indiana,30234.0,Indiana,77358.0
Bloomington,ELEC,IL,219.0,Indiana,30234.0,Minnesota,87799.0
Bloomington,ELEC,IL,219.0,Minnesota,52359.0,Illinois,78874.0
Bloomington,ELEC,IL,219.0,Minnesota,52359.0,Indiana,77358.0
Bloomington,ELEC,IL,219.0,Minnesota,52359.0,Minnesota,87799.0
Bloomsburg,ELEC,PA,24.0,,,,
Blossburg,ELEC,PA,4.0,,,,
Blossvale,ELEC,NY,4.0,,,,
Blountville,ELEC,TN,2.0,,,,
Blowing rock,ELEC,NC,20.0,,,,
Blue ash,ELEC,OH,36.0,,,,
